pincode,city,pincode_centroid_lat,pincode_centroid_lon,population_density_per_sqkm,area_sqkm,estimated_population
411001,Pune,18.515,73.879,21400,4.1,87739
411004,Pune,18.517,73.84,18900,3.4,64260
411006,Pune,18.535,73.848,17600,4.8,84480
411007,Pune,18.559,73.807,15200,6.2,94240
411014,Pune,18.567,73.914,13800,7.1,97980
411016,Pune,18.529,73.833,19800,3.0,59400
411021,Pune,18.559,73.78,12600,5.9,74340
411027,Pune,18.598,73.79,16900,5.2,87880
411028,Pune,18.509,73.926,14100,8.4,118440
411033,Pune,18.622,73.75,11800,6.8,80240
411038,Pune,18.507,73.807,20300,4.4,89320
411045,Pune,18.575,73.769,12200,4.9,59780
411048,Pune,18.464,73.889,18400,7.6,139840
411057,Pune,18.598,73.762,22600,6.4,144640
411058,Pune,18.482,73.797,13900,4.2,58380
500001,Hyderabad,17.376,78.479,24800,3.2,79360
500016,Hyderabad,17.443,78.468,16400,4.6,75440
500018,Hyderabad,17.456,78.436,15100,5.1,77010
500019,Hyderabad,17.496,78.358,14700,7.3,107310
500032,Hyderabad,17.44,78.348,11200,8.8,98560
500033,Hyderabad,17.431,78.407,13600,5.4,73440
500034,Hyderabad,17.418,78.438,14900,4.7,70030
500035,Hyderabad,17.352,78.535,19200,6.1,117120
500049,Hyderabad,17.51,78.39,17800,6.7,119260
500072,Hyderabad,17.485,78.411,21300,5.5,117150
500074,Hyderabad,17.345,78.552,18600,5.8,107880
500081,Hyderabad,17.448,78.391,12900,4.9,63210
500084,Hyderabad,17.46,78.366,11600,6.3,73080
500089,Hyderabad,17.402,78.383,12400,5.7,70680
302001,Jaipur,26.92,75.82,23100,3.6,83160
302004,Jaipur,26.932,75.793,17400,4.3,74820
302012,Jaipur,26.943,75.757,15800,6.0,94800
302015,Jaipur,26.912,75.737,13200,6.9,91080
302017,Jaipur,26.857,75.814,14600,5.4,78840
302018,Jaipur,26.856,75.762,12800,7.2,92160
302019,Jaipur,26.818,75.79,11400,6.6,75240
302020,Jaipur,26.833,75.857,10900,7.8,85020
302021,Jaipur,26.965,75.783,13700,5.1,69870
302033,Jaipur,26.786,75.82,6400,9.4,60160
