site_id,city,site_lat,site_lon,site_pincode,carpet_area_sqft,monthly_rent_inr,one_time_fitout_cost_inr
CS-01,Pune,18.5975,73.764,411057,2650,82000,1650000
CS-02,Pune,18.576,73.77,411045,2400,76000,1480000
CS-03,Pune,18.467,73.888,411048,2900,64000,1520000
CS-04,Pune,18.509,73.813,411038,2200,88000,1390000
CS-05,Pune,18.564,73.908,411014,2050,79000,1310000
CS-06,Hyderabad,17.495,78.36,500019,3100,81000,1720000
CS-07,Hyderabad,17.509,78.391,500049,2750,77000,1580000
CS-08,Hyderabad,17.445,78.396,500081,2300,96000,1460000
CS-09,Hyderabad,17.43,78.408,500033,2600,190000,2380000
CS-10,Hyderabad,17.44,78.348,500032,3200,175000,2140000
CS-11,Jaipur,26.942,75.759,302012,2500,56000,1240000
CS-12,Jaipur,26.835,75.854,302020,2850,52000,1180000
CS-13,Jaipur,26.963,75.785,302021,2400,49000,1090000
CS-14,Jaipur,26.915,75.745,302015,1950,61000,980000
CS-15,Jaipur,26.795,75.83,302033,2700,41000,920000
