store_id,city,store_lat,store_lon,store_pincode,monthly_rent_inr,monthly_fixed_cost_inr,go_live_date
PUN-01,Pune,18.5065,73.809,411038,48400,63400,2024-03-11
PUN-02,Pune,18.513,73.8155,411038,44000,55400,2025-01-20
PUN-03,Pune,18.56,73.797,411007,45900,60700,2024-05-06
PUN-04,Pune,18.5545,73.9005,411014,42800,58100,2024-07-15
PUN-05,Pune,18.51,73.923,411028,37800,53500,2024-09-02
PUN-06,Pune,18.533,73.846,411006,51500,59400,2024-11-18
PUN-07,Pune,18.596,73.791,411027,40900,56800,2024-06-24
HYD-01,Hyderabad,17.447,78.393,500081,55200,66700,2024-02-19
HYD-02,Hyderabad,17.419,78.439,500034,58300,64700,2024-04-08
HYD-03,Hyderabad,17.442,78.467,500016,44600,58700,2024-08-12
HYD-04,Hyderabad,17.461,78.368,500084,47100,57400,2024-10-21
HYD-05,Hyderabad,17.403,78.381,500089,39700,52100,2025-02-10
HYD-06,Hyderabad,17.486,78.409,500072,43400,60100,2024-07-01
JAI-01,Jaipur,26.913,75.742,302015,33500,48200,2024-04-15
JAI-02,Jaipur,26.86,75.81,302017,31600,46900,2024-06-10
JAI-03,Jaipur,26.925,75.8,302004,36000,50200,2024-09-16
JAI-04,Jaipur,26.858,75.766,302018,29100,44900,2024-12-09
JAI-05,Jaipur,26.788,75.823,302033,27300,41600,2025-03-03
